BAIRRO;RPA;MICROREGIAO;DIST_MARCO_ZERO;HECTARES;HABITANTES;NUM_HOMENS;POR_HOMENS;NUM_MULHERES;POR_MULHERES;0_4ANOS;0_4ANOS%;5_14ANOS;5_14ANOS%;15_17ANOS;15_17ANOS%;18_24ANOS;18_24ANOS%;25_59ANOS;25_59ANOS%;60_ANOS;60_ANOS%;BRANCA;PRETA;PARDA;AMARELA;INDIGENA;ALFABETIZADOS;CRESCIMENTO_ANUAL;DENSIDADE;DOMICILIOS;MEDIA_MORADORES;MULHERES_RESPONSAVEIS;RENDA
SITIO DOS PINTOS;3;3.1;10.99;180.0;7276;3495;48.03;3781;51.97;497;6.83;1253;17.22;390;5.36;980;13.47;3566;49.01;590;8.11;32.02;10.77;51.33;1.4;0.48;91.0;2.54;40.49;2132;3.4;44.59;1841.34
TAMARINEIRA;3;3.1;5.04;102.0;14124;6151;43.55;7973;56.45;657;4.65;1547;10.95;591;4.18;1647;11.66;7302;51.7;2380;16.86;65.14;3.63;29.75;1.19;0.3;98.0;1.93;138.18;4537;3.1;47.76;7904.04
VASCO DA GAMA;3;3.2;7.79;160.0;31025;14501;46.74;16524;53.26;2058;6.63;4857;15.66;1653;5.33;3830;12.34;15302;49.32;3325;10.72;33.19;10.23;55.38;0.98;0.22;91.0;0.53;193.38;9113;3.4;49.51;1165.9
CAXANGA;4;4.3;9.72;244.0;9634;4584;47.58;5050;52.42;680;7.06;1493;15.5;557;5.78;1245;12.92;4928;51.15;731;7.59;39.84;9.3;48.18;1.87;0.81;93.0;3.75;39.44;2863;3.4;45.37;2231.32
CIDADE UNIVERSITARIA;4;4.3;8.89;162.0;818;419;51.22;399;48.78;63;7.7;122;14.91;42;5.13;121;14.79;403;49.28;67;8.19;34.11;7.21;58.07;0.37;0.24;92.0;3.1;5.05;222;3.5;32.88;2044.3
CORDEIRO;4;4.1;6.54;340.0;41164;18416;44.74;22748;55.26;2456;5.97;5285;12.84;1762;4.28;4906;11.92;21369;51.91;5386;13.08;46.83;7.48;44.43;0.97;0.29;95.0;0.93;121.02;12797;3.2;47.9;2812.73
ENGENHO DO MEIO;4;4.2;8.0;87.0;10211;4609;45.14;5602;54.86;486;4.75;1204;11.79;464;4.54;1170;11.46;2242;51.34;1645;16.11;43.49;7.56;47.25;1.24;0.39;96.1;-0.34;117.54;3053;3.3;46.09;2594.45
ILHA DO RETIRO;4;4.1;3.76;54.0;3740;1790;47.86;1950;52.14;242;6.47;647;17.3;193;5.16;429;11.47;1846;49.36;383;10.24;45.53;9.92;43.8;8.56;0.19;89.0;0.43;68.75;1124;3.3;45.16;4771.7
IPUTINGA;4;4.1;7.74;434.0;52200;24036;46.05;28164;53.95;3450;6.61;7775;14.89;2660;5.1;6647;12.73;26534;50.83;5134;9.84;40.66;7.54;50.52;1.05;0.23;93.0;1.07;120.22;16294;3.2;51.78;2045.08
MADALENA;4;4.1;4.42;183.0;23082;10340;44.8;12742;55.2;1295;5.61;2643;11.45;972;4.21;3117;13.5;11860;51.39;3195;13.84;56.11;5.43;37.57;0.73;0.16;95.0;1.55;126.48;7604;3.0;45.31;5521.52
PRADO;4;4.1;5.16;127.0;11694;5285;45.19;6409;54.81;765;6.54;1573;13.45;519;4.44;1454;12.43;5978;51.12;525;12.02;45.36;9.1;44.12;1.21;0.21;93.0;0.66;92.02;3696;3.2;48.65;2617.33
TORRE;4;4.1;4.8;117.0;17903;7919;44.23;9984;55.77;1020;5.7;2115;11.81;704;3.93;2252;12.58;5581;53.52;2232;12.46;55.64;5.36;37.85;1.03;0.12;94.0;0.56;152.68;5941;3.0;48.56;4827.09
TORROES;4;4.2;7.23;168.0;32015;15101;47.17;16914;52.83;2417;7.55;5277;16.48;1810;5.65;4437;13.86;15400;48.1;2674;8.36;31.14;10.68;56.65;1.1;0.43;88.0;0.82;190.53;9320;3.4;49.8;1150.31
VARZEA;4;4.3;11.57;2255.0;70453;32870;46.66;37583;53.34;4421;6.28;10421;14.79;3507;4.98;9284;13.18;35968;51.07;6842;9.7;38.02;8.45;52.25;0.96;0.34;93.0;0.88;31.24;21695;3.2;46.84;2049.33
ZUMBI;4;4.1;5.27;41.0;6033;2678;44.39;3355;55.61;344;5.7;763;12.65;248;4.11;747;12.38;3127;51.83;804;13.33;44.04;7.21;48.06;0.46;0.23;94.0;0.47;148.22;1957;3.1;49.64;2188.4
AFOGADOS;5;5.1;4.59;369.0;36265;16694;46.03;19571;53.97;2344;6.46;5383;14.84;1749;4.82;4500;12.41;17792;49.06;4497;12.41;37.96;9.19;51.78;0.78;0.29;92.0;0.03;98.24;11072;3.3;51.83;1545.82
AREIAS;5;5.2;7.37;240.0;29894;13573;45.4;16321;54.6;1702;5.69;4060;13.58;1346;4.5;3499;11.7;15253;51.04;4034;13.49;42.28;6.15;50.81;0.58;0.18;95.0;-15.0;124.51;9129;3.3;48.68;1941.97
BARRO;5;5.3;10.26;454.0;31847;14965;46.99;16882;53.01;2244;7.05;5410;16.99;1803;5.66;4116;12.92;15286;48.0;2988;9.38;34.48;7.54;56.6;1.03;0.35;92.0;0.23;70.09;9397;3.4;46.72;1353.95
BONGI;5;5.1;5.34;60.0;8097;3723;45.98;4374;54.02;523;6.46;1285;15.87;405;5.0;885;10.93;4068;50.24;931;11.5;35.07;9.63;54.12;0.98;0.2;92.0;-0.14;134.9;2345;3.5;49.02;1860.98
CACOTE;5;5.2;7.83;46.0;10470;4954;47.32;5516;52.68;819;7.82;1875;17.91;604;5.77;1342;12.82;4983;47.59;847;8.09;30.93;6.45;62.45;0.12;0.05;91.0;2.19;227.89;3067;3.4;44.28;1110.61
COQUEIRAL;5;5.3;11.16;51.0;10794;5073;47.0;5721;53.0;683;6.33;1608;14.9;598;5.54;1266;11.73;5453;5.52;1186;10.98;34.93;9.91;53.98;0.9;0.28;91.0;-0.27;213.0;3281;3.3;43.69;1039.79
CURADO;5;5.3;9.68;798.0;16418;7753;47.22;8665;52.78;1258;7.66;2757;16.79;830;5.06;1928;11.74;8319;50.67;1326;8.08;33.91;8.02;56.94;0.9;0.23;90.0;1.99;20.56;4900;3.3;40.08;1216.36
ESTANCIA;5;5.2;6.95;81.0;9240;4326;46.82;4914;53.18;593;6.42;1468;15.89;475;5.14;1162;12.58;4471;48.39;1071;11.58;37.25;8.38;53.84;0.45;0.08;91.0;0.34;114.44;2822;3.3;46.0;1469.82
JARDIM SAO PAULO;5;5.3;8.35;259.0;31648;14624;46.21;17024;53.79;1838;5.81;4362;13.78;1551;4.9;3658;11.56;16230;51.28;4009;12.67;42.34;6.95;49.4;1.04;0.27;94.0;1.99;121.96;9615;3.3;42.5;1973.1
JIQUIA;5;5.2;6.24;170.0;10245;4775;46.61;5470;53.39;696;6.79;1765;17.23;533;5.2;1251;12.21;4973;48.54;1027;10.03;35.71;9.77;53.29;0.99;0.22;92.0;2.76;60.22;3070;3.3;47.97;1555.32
MANGUEIRA;5;5.1;5.65;31.0;8480;3880;45.75;4600;54.25;563;6.64;1434;16.91;425;5.01;1013;11.95;4091;48.24;954;11.25;30.84;11.84;56.2;0.79;0.33;91.0;-0.29;269.45;2582;3.3;52.5;1161.71
MUSTARDINHA;5;5.1;5.43;63.0;12429;5659;45.53;6770;54.47;802;6.45;2038;16.4;649;5.22;1387;11.16;6109;49.15;1444;11.62;30.17;8.51;60.41;0.7;0.21;91.0;0.61;196.56;3669;3.4;48.95;1251.81
SAN MARTIN;5;5.1;6.33;203.0;25414;11584;45.58;13830;54.42;1556;6.12;3516;13.83;1203;4.73;3091;12.16;12881;50.68;3167;12.48;40.04;8.46;50.47;0.83;0.2;94.0;1.02;125.44;7656;3.3;43.74;2080.85
SANCHO;5;5.3;10.27;63.0;11199;7014;62.63;4185;37.37;461;4.12;1095;9.78;392;3.5;1995;17.81;6324;56.47;932;8.32;31.49;11.05;56.07;1.15;0.21;93.0;0.67;177.46;2374;3.2;43.77;1554.92
TEJIPIO;5;5.3;9.95;94.0;8918;4085;45.81;4833;54.19;498;5.58;1160;13.01;409;4.59;1030;11.55;4565;51.19;1256;14.08;45.84;5.61;47.31;1.14;0.1;96.0;0.5;94.63;2682;3.3;40.99;2118.1
TOTO;5;5.3;10.9;14.0;2420;1101;45.5;1319;54.5;144;5.95;372;15.37;127;5.25;277;11.45;1218;50.33;282;11.65;35.58;8.97;53.96;0.95;0.54;92.0;0.66;176.81;746;3.2;40.96;1296.05
BOA VIAGEM;6;6.1;7.91;753.0;122922;55044;44.78;67878;55.22;6102;4.96;12970;10.55;4693;3.82;13865;11.29;65017;52.89;20275;16.49;66.35;3.41;29.05;0.97;0.22;97.0;2.05;163.17;42272;2.9;42.92;7108.0
BRASILIA TEIMOSA;6;6.1;2.33;61.0;18334;8571;46.75;9773;53.25;1285;7.01;2854;10.55;907;3.82;2156;11.28;9084;52.89;2048;16.49;33.05;8.93;56.62;0.99;0.31;91.0;-0.44;302.81;5464;3.4;49.57;1220.81
COHAB;6;6.3;10.92;426.0;67283;31584;46.94;35699;53.06;4607;6.7;11271;16.75;3599;5.35;8458;12.57;32726;48.64;46722;9.99;32.17;8.49;58.19;0.96;0.19;92.0;-0.27;157.97;19534;3.4;45.03;1182.43
IBURA;6;6.2;9.14;1019.0;50617;23833;47.08;26784;52.92;3592;7.1;8958;17.7;2743;5.42;6033;11.92;24881;49.16;4410;8.7;33.2;8.22;57.31;1.08;0.19;91.0;1.48;49.69;15078;3.4;43.72;1180.16
IMBIRIBEIRA;6;6.1;6.45;666.0;48512;22508;46.4;26004;53.6;3365;6.94;7447;15.35;2419;4.99;6139;12.65;24019;49.51;5123;10.56;40.49;9.1;49.18;1.0;0.23;91.0;0.43;72.85;14969;3.2;46.15;2108.44
IPSEP;6;6.1;7.6;180.0;25029;11007;43.98;14022;56.02;1071;4.28;2893;11.56;1035;4.14;2759;11.02;12741;50.9;4530;18.1;48.72;5.11;44.94;0.9;0.33;97.0;-0.27;139.27;7692;3.3;46.77;2454.22
JORDAO;6;6.2;11.09;158.0;20777;9746;46.91;11031;53.09;1310;6.31;3397;16.35;1172;5.64;2710;13.04;10142;48.81;2046;9.85;34.86;10.98;52.89;1.11;0.16;92.0;-49.0;131.49;6018;3.5;44.32;1274.0
PINA;6;6.1;4.57;629.0;29176;13503;46.28;15673;53.72;1884;6.46;4310;14.77;1424;4.88;3471;11.9;14574;49.95;3513;12.04;37.73;9.89;51.24;0.9;0.24;92.0;0.62;46.38;9457;3.1;49.65;2446.83
