,BAIRRO,GRUPOSERVICO_DESCRICAO,VALUE
354,BOMBA DO HEMETERIO,PLANEJAMENTO DE LIMPEZA URBANA,3.7612001156935624
355,BOMBA DO HEMETERIO,POSTE,2.4849066497880004
356,BOMBA DO HEMETERIO,PRACAS,0.6931471805599453
357,BOMBA DO HEMETERIO,PROJETOS,0.6931471805599453
358,BOMBA DO HEMETERIO,SEMENTEIRA,0.6931471805599453
359,BOMBA DO HEMETERIO,TABLADOS,3.367295829986474
360,BOMBA DO HEMETERIO,TERRAPLENAGEM,0.0
361,BOMBA DO HEMETERIO,VAO DE REDE,0.0
362,BONGI,ARBORIZACAO,5.3612921657094255
363,BONGI,CALCADAS ARVORES,0.6931471805599453
364,BONGI,COLETA SELETIVA,2.1972245773362196
365,BONGI,COLETA URBANA,4.919980925828125
366,BONGI,CONSERVACAO,6.428105272684596
367,BONGI,DENUNCIAS,2.70805020110221
368,BONGI,DRENAGEM,6.113682179832232
369,BONGI,FISCALIZACAO URBANA,4.007333185232471
370,BONGI,ILUMINACAO PROVISORIA,5.1647859739235145
371,BONGI,ILUMINACAO PUBLICA,6.754604099487962
372,BONGI,ILUMINACAO RELUZ,5.556828061699537
373,BONGI,LIMPEZA URBANA,6.897704943128636
374,BONGI,LUMINARIAS,4.143134726391533
375,BONGI,MACRODRENAGEM,2.1972245773362196
376,BONGI,MANUT. URBANA,2.3978952727983707
377,BONGI,PAVIMENTACAO,5.707110264748875
378,BONGI,PLANEJAMENTO DE LIMPEZA URBANA,3.2188758248682006
379,BONGI,POSTE,1.791759469228055
380,BONGI,PRACAS,3.5553480614894135
381,BONGI,SEMENTEIRA,2.6390573296152584
382,BONGI,TABLADOS,3.8501476017100584
383,BONGI,TERRAPLENAGEM,2.70805020110221
384,BONGI,VAO DE REDE,1.6094379124341003
385,BRASILIA TEIMOSA,ARBORIZACAO,5.641907070938114
386,BRASILIA TEIMOSA,CALCADAS ARVORES,2.3978952727983707
387,BRASILIA TEIMOSA,COLETA SELETIVA,1.3862943611198906
388,BRASILIA TEIMOSA,COLETA URBANA,5.1298987149230735
389,BRASILIA TEIMOSA,CONSERVACAO,7.035268599281097
390,BRASILIA TEIMOSA,DENUNCIAS,2.995732273553991
391,BRASILIA TEIMOSA,DRENAGEM,7.427144133408616
392,BRASILIA TEIMOSA,FISCALIZACAO URBANA,4.3694478524670215
393,BRASILIA TEIMOSA,ILUMINACAO PROVISORIA,4.969813299576001
394,BRASILIA TEIMOSA,ILUMINACAO PUBLICA,7.821643126239982
395,BRASILIA TEIMOSA,ILUMINACAO RELUZ,6.3473892096560105
396,BRASILIA TEIMOSA,LIMPEZA URBANA,6.661854740545311
397,BRASILIA TEIMOSA,LUMINARIAS,4.852030263919617
398,BRASILIA TEIMOSA,MACRODRENAGEM,1.3862943611198906
399,BRASILIA TEIMOSA,MANUT. URBANA,2.0794415416798357
400,BRASILIA TEIMOSA,PAVIMENTACAO,6.805722553416985
401,BRASILIA TEIMOSA,PLANEJAMENTO DE LIMPEZA URBANA,3.1780538303479458
402,BRASILIA TEIMOSA,POSTE,4.0943445622221
403,BRASILIA TEIMOSA,PRACAS,4.174387269895637
404,BRASILIA TEIMOSA,PROJETOS,0.6931471805599453
405,BRASILIA TEIMOSA,SEMENTEIRA,2.772588722239781
406,BRASILIA TEIMOSA,TABLADOS,3.367295829986474
407,BRASILIA TEIMOSA,TERRAPLENAGEM,1.0986122886681098
408,BRASILIA TEIMOSA,VAO DE REDE,3.2188758248682006
409,BREJO DA GUABIRABA,ARBORIZACAO,4.605170185988092
410,BREJO DA GUABIRABA,CALCADAS ARVORES,0.0
411,BREJO DA GUABIRABA,COLETA SELETIVA,0.6931471805599453
412,BREJO DA GUABIRABA,COLETA URBANA,5.099866427824199
413,BREJO DA GUABIRABA,CONSERVACAO,6.499787040655854
414,BREJO DA GUABIRABA,DENUNCIAS,2.1972245773362196
415,BREJO DA GUABIRABA,DRENAGEM,5.303304908059076
416,BREJO DA GUABIRABA,ESCADARIA,4.663439094112067
417,BREJO DA GUABIRABA,FISCALIZACAO URBANA,3.6375861597263857
418,BREJO DA GUABIRABA,ILUMINACAO PROVISORIA,4.477336814478207
419,BREJO DA GUABIRABA,ILUMINACAO PUBLICA,7.347299700743164
420,BREJO DA GUABIRABA,ILUMINACAO RELUZ,5.497168225293202
421,BREJO DA GUABIRABA,LIMPEZA URBANA,6.902742737158593
422,BREJO DA GUABIRABA,LUMINARIAS,4.844187086458591
423,BREJO DA GUABIRABA,MACRODRENAGEM,4.2626798770413155
424,BREJO DA GUABIRABA,MANUT. URBANA,1.9459101490553132
425,BREJO DA GUABIRABA,PAVIMENTACAO,5.616771097666572
426,BREJO DA GUABIRABA,PLANEJAMENTO DE LIMPEZA URBANA,3.7612001156935624
427,BREJO DA GUABIRABA,POSTE,2.302585092994046
428,BREJO DA GUABIRABA,PRACAS,0.6931471805599453
429,BREJO DA GUABIRABA,PROJETOS,0.0
430,BREJO DA GUABIRABA,SEMENTEIRA,0.0
431,BREJO DA GUABIRABA,TABLADOS,3.1780538303479458
432,BREJO DA GUABIRABA,TERRAPLENAGEM,3.1354942159291497
433,BREJO DA GUABIRABA,VAO DE REDE,1.0986122886681098
434,BREJO DE BEBERIBE,ARBORIZACAO,4.0943445622221
435,BREJO DE BEBERIBE,COLETA URBANA,4.007333185232471
436,BREJO DE BEBERIBE,CONSERVACAO,5.62040086571715
437,BREJO DE BEBERIBE,DENUNCIAS,1.0986122886681098
438,BREJO DE BEBERIBE,DRENAGEM,4.927253685157205
439,BREJO DE BEBERIBE,ESCADARIA,2.3978952727983707
440,BREJO DE BEBERIBE,FISCALIZACAO URBANA,2.833213344056216
441,BREJO DE BEBERIBE,ILUMINACAO PROVISORIA,3.258096538021482
442,BREJO DE BEBERIBE,ILUMINACAO PUBLICA,6.364750756851911
443,BREJO DE BEBERIBE,ILUMINACAO RELUZ,4.465908118654584
